
prices,Price levels
City;without_rent,Excluding rent;with_rent,Including rent
Istanbul 27.9 28.2
Jakarta 7.9 9.2
Johannesburg 41.5 38.9
Kiev 10.5 11.2
Kuala Lumpur 21.5 22.0
Lima 22.2 23.1
Lisbon 44.0 42.6
Ljubljana 36.4 32.0
London 79.5 75.2
Los Angeles 86.3 80.9
Luxembourg 105.4 109.7
Lyon 64.2 64.7
Madrid 57.0 57.9
Manama 30.5 38.8
Manila 8.0 8.1
Mexico City 13.7 15.1
Miami 81.8 79.9
Milan 70.3 61.5
Montreal 76.2 66.2
Moscow 30.4 33.8
Mumbai 8.5 9.3
Munich 91.5 76.0
Nairobi 10.4 10.2
New York 100 100
Nicosia 60.8 68.5
Oslo 119.1 97.4
Paris 78.1 73.6
Prague 24.5 25.1
Riga 24.2 21.4
Rio de Janeiro 27.2 27.5
Rome 55.1 48.2
Santiago de Chile 22.6 21.5
Seoul 54.8 50.2
Shanghai 20.9 21.6
Sofia 13.8 13.6
Stockholm 82.9 78.1
Sydney 94.1 98.0
São Paulo 30.1 30.5
Taipei 33.3 39.3
Tallinn 28.0 28.3
Tel Aviv 43.0 43.5
Tokyo 92.4 90.4
Toronto 76.8 68.6
Vienna 80.2 70.8
Vilnius 21.7 21.2
Warsaw 23.8 21.9
Zurich 131.1 132.4



purchasing_power,Domestic purchasing power
City;gross_hourly,Gross hourly pay;net_hourly,Net hourly pay;annual_net_income,Annual net income
Amsterdam 101.6 90.1 75.7
Athens 62.6 60.5 52.1
Auckland 78.0 82.9 74.8
Bangkok 26.5 31.4 33.7
Barcelona 79.7 78.6 66.8
Beijing 28.3 29.9 28.2
Berlin 109.6 97.0 82.1
Bogotá 42.1 41.4 38.5
Bratislava 51.3 50.7 45.7
Brussels 107.6 78.6 65.9
Bucharest 37.1 34.0 30.2
Budapest 35.5 32.0 29.3
Buenos Aires 42.9 46.2 41.1
Cairo 26.0 28.5 32.8
Caracas 21.9 25.7 23.0
Chicago 105.4 101.9 91.6
Copenhagen 122.0 92.5 75.3
Delhi 23.0 25.0 25.9
Doha 38.8 50.2 50.2
Dubai 63.5 82.1 79.5
Dublin 101.9 103.3 82.0
Frankfurt 102.1 90.5 76.1
Geneva 116.0 111.9 98.8
Helsinki 92.7 85.8 70.8
Hong Kong 58.5 68.1 72.6
Istanbul 39.0 39.4 39.8
Jakarta 14.7 17.2 16.7
Johannesburg 79.7 74.7 66.8
Kiev 19.7 21.1 18.3
Kuala Lumpur 41.3 42.2 38.6
Lima 43.6 45.5 44.2
Lisbon 65.3 63.2 50.6
Ljubljana 57.5 50.5 43.8
London 91.1 86.2 73.0
Los Angeles 113.9 106.8 98.4
Luxembourg 111.7 116.2 87.0
Lyon 81.9 82.5 65.6
Madrid 81.8 83.1 67.0
Manama 56.4 71.9 66.4
Manila 19.3 19.5 19.8
Mexico City 26.8 29.6 33.1
Miami 106.2 103.7 97.7
Milan 88.3 77.2 61.8
Montreal 93.1 80.9 68.1
Moscow 45.9 51.2 44.8
Mumbai 24.9 27.3 28.9
Munich 108.2 89.8 77.0
Nairobi 21.4 21.0 21.2
New York 100 100 100
Nicosia 95.1 107.2 86.8
Oslo 102.7 84.0 71.2
Paris 93.1 87.7 65.1
Prague 45.2 46.2 40.8
Riga 44.4 39.3 34.4
Rio de Janeiro 44.5 45.0 40.7
Rome 69.6 60.9 53.7
Santiago de Chile 42.8 40.7 38.8
Seoul 80.8 74.0 78.2
Shanghai 37.3 38.4 36.6
Sofia 32.6 32.1 29.1
Stockholm 90.2 84.9 74.0
Sydney 112.5 117.2 104.5
São Paulo 48.7 49.4 42.0
Taipei 52.1 61.5 61.7
Tallinn 48.0 48.7 40.9
Tel Aviv 57.0 57.7 53.4
Tokyo 84.8 83.0 80.9
Toronto 103.4 92.3 80.4
Vienna 98.6 87.1 74.9
Vilnius 42.6 41.7 36.1
Warsaw 44.3 40.8 34.0
Zurich 119.1 120.3 110.6



time_to_buy,Working time to buy
City;bigmac,1 Big Mac (minute);bread,1kg of bread (minute);rice,1kg rice (minute);iphone,iPhone 4S 16GB (hours)
Amsterdam 16 7 9 44.5
Athens 30 13 26 86.0
Auckland 16 17 8 51.0
Bangkok 36 26 20 165.0
Barcelona 19 12 6 52.5
Beijing 34 28 16 184.0
Berlin 16 11 9 55.5
Bogotá 52 34 17 142.0
Bratislava 32 21 20 126.5
Brussels 20 11 12 54.0
Bucharest 57 21 27 229.5
Budapest 49 14 27 206.0
Buenos Aires 45 12 17 187.0
Cairo 67 8 19 290.5
Caracas 81 59 13 271.5
Chicago 11 16 9 32.0
Copenhagen 16 9 6 36.5
Delhi 65 16 40 369.5
Doha 21 13 16 82.5
Dubai 12 10 14 46.5
Dublin 14 8 10 39.0
Frankfurt 15 9 11 41.5
Geneva 14 6 7 23.5
Helsinki 16 14 7 44.5
Hong Kong 10 24 10 53.0
Istanbul 42 9 14 165.5
Jakarta 62 47 28 348.5
Johannesburg 26 10 11 93.5
Kiev 46 18 30 266.5
Kuala Lumpur 26 20 21 129.0
Lima 21 20 16 162.0
Lisbon 22 14 8 96.5
Ljubljana 25 23 38 101.0
London 16 7 13 42.5
Los Angeles 11 18 6 33.0
Luxembourg 11 9 10 29.5
Lyon 17 10 13 52.5
Madrid 18 10 6 53.0
Manama 20 6 10 72.5
Manila 73 70 28 435.0
Mexico City 48 26 22 219.5
Miami 12 13 6 32.5
Milan 18 15 16 55.0
Montreal 19 14 14 44.5
Moscow 18 7 12 119.0
Mumbai 56 30 31 338.0
Munich 15 11 11 42.5
Nairobi 84 28 41 292.5
New York 10 13 6 27.5
Nicosia 12 8 9 53.5
Oslo 18 11 12 36.0
Paris 16 15 13 43.5
Prague 34 13 16 131.5
Riga 33 23 22 168.5
Rio de Janeiro 45 33 12 160.0
Rome 23 17 19 70.0
Santiago de Chile 56 22 21 157.0
São Paulo 39 27 8 106.0
Seoul 17 14 10 56.0
Shanghai 29 43 9 142.0
Sofia 36 20 29 247.5
Stockholm 17 19 11 45.0
Sydney 12 9 6 32.5
Taipei 15 9 12 79.0
Tallinn 28 20 16 139.0
Tel Aviv 17 10 21 99.5
Tokyo 9 15 15 35.0
Toronto 11 11 10 37.5
Vienna 14 9 9 45.5
Vilnius 33 19 34 168.5
Warsaw 36 13 24 141.0
Zurich 13 6 6 22.0



monthly_costs,Total expenditure on goods and services
City;USD;Index
Amsterdam 3034 77.0
Athens 2605 66.1
Auckland 3019 76.7
Bangkok 2178 55.3
Barcelona 2941 74.7
Beijing 2375 60.3
Berlin 2847 72.3
Bogotá 2089 53.1
Bratislava 2122 53.9
Brussels 2983 75.8
Bucharest 1568 39.8
Budapest 2232 56.7
Buenos Aires 2166 55.0
Cairo 1669 42.4
Caracas 3583 91.0
Chicago 3112 79.0
Copenhagen 3974 100.9
Delhi 1304 33.1
Doha 2700 68.6
Dubai 3077 78.1
Dublin 3003 76.2
Frankfurt 3402 86.4
Geneva 4195 106.5
Helsinki 3407 86.5
Hong Kong 2880 73.1
Istanbul 2814 71.5
Jakarta 2114 53.7
Johannesburg 2052 52.1
Kiev 2091 53.1
Kuala Lumpur 2050 52.0
Lima 2000 50.8
Lisbon 2656 67.4
Ljubljana 2493 63.3
London 3437 87.3
Los Angeles 2985 75.8
Luxembourg 3716 94.4
Lyon 3087 78.4
Madrid 2742 69.6
Manama 2127 54.0
Manila 1634 41.5
Mexico City 2015 51.2
Miami 3031 77.0
Milan 3136 79.6
Montreal 3222 81.8
Moscow 2604 66.1
Mumbai 1342 34.1
Munich 3333 84.6
Nairobi 1913 48.6
New York 3938 100
Nicosia 2517 63.9
Oslo 4569 116.0
Paris 3304 83.9
Prague 2138 54.3
Riga 2145 54.5
Rio de Janeiro 2409 61.2
Rome 3116 79.1
Santiago de Chile 2080 52.8
São Paulo 2431 61.7
Seoul 2672 67.8
Shanghai 2211 56.1
Sofia 1667 42.3
Stockholm 3621 91.9
Sydney 3294 83.6
Taipei 2513 63.8
Tallinn 2294 58.2
Tel Aviv 2968 75.4
Tokyo 4289 108.9
Toronto 2926 74.3
Vienna 3202 81.3
Vilnius 2002 50.8
Warsaw 2113 53.7
Zurich 4334 110.1



food,Food prices
City;USD;Index
Amsterdam 364 66.0
Athens 390 70.7
Auckland 497 90.0
Bangkok 422 76.5
Barcelona 394 71.3
Beijing 463 83.9
Berlin 389 70.5
Bogotá 363 65.8
Bratislava 345 62.4
Brussels 434 78.5
Bucharest 244 44.2
Budapest 341 61.7
Buenos Aires 310 56.2
Cairo 300 54.4
Caracas 689 124.9
Chicago 460 83.3
Copenhagen 567 102.8
Delhi 208 37.7
Doha 355 64.4
Dubai 485 87.8
Dublin 455 82.3
Frankfurt 439 79.6
Geneva 714 129.4
Helsinki 497 90.1
Hong Kong 651 117.9
Istanbul 430 77.9
Jakarta 369 66.9
Johannesburg 311 56.3
Kiev 263 47.6
Kuala Lumpur 346 62.7
Lima 304 55.0
Lisbon 311 56.3
Ljubljana 368 66.7
London 436 79.0
Los Angeles 502 90.9
Luxembourg 525 95.0
Lyon 477 86.4
Madrid 432 78.3
Manama 278 50.4
Manila 293 53.0
Mexico City 260 47.1
Miami 499 90.4
Milan 487 88.2
Montreal 519 94.1
Moscow 314 56.9
Mumbai 186 33.7
Munich 500 90.5
Nairobi 292 52.8
New York 552 100
Nicosia 370 67.0
Oslo 599 108.6
Paris 523 94.7
Prague 295 53.5
Riga 316 57.3
Rio de Janeiro 354 64.2
Rome 497 90.0
Santiago de Chile 348 63.1
São Paulo 379 68.7
Seoul 629 114.0
Shanghai 404 73.2
Sofia 265 48.0
Stockholm 553 100.2
Sydney 509 92.1
Taipei 448 81.1
Tallinn 333 60.4
Tel Aviv 477 86.3
Tokyo 927 168.0
Toronto 453 82.1
Vienna 504 91.2
Vilnius 284 51.4
Warsaw 291 52.7
Zurich 704 127.5



clothing,Clothing
City;women,Women’s clothing;men,Men’s clothing;Index
Amsterdam 690 1040 110.8
Athens 630 1110 112.5
Auckland 560 670 79.2
Bangkok 400 600 64.2
Barcelona 580 1110 109.2
Beijing 660 700 87.5
Berlin 570 710 82.5
Bogotá 310 440 48.3
Bratislava 250 340 37.5
Brussels 630 800 92.5
Bucharest 180 300 30.8
Budapest 580 920 96.7
Buenos Aires 400 660 68.3
Cairo 380 430 51.7
Caracas 520 950 94.2
Chicago 740 1200 125.0
Copenhagen 950 1150 135.0
Delhi 260 410 43.3
Doha 340 470 51.7
Dubai 1270 1450 175.0
Dublin 470 600 68.3
Frankfurt 840 890 111.7
Geneva 850 1150 129.2
Helsinki 610 1200 116.7
Hong Kong 390 620 65.0
Istanbul 630 880 97.5
Jakarta 190 390 37.5
Johannesburg 310 400 45.8
Kiev 430 600 65.8
Kuala Lumpur 230 540 50.0
Lima 310 470 50.0
Lisbon 390 510 57.5
Ljubljana 560 1000 100
London 480 800 82.5
Los Angeles 710 1240 125.8
Luxembourg 960 1440 154.2
Lyon 740 1180 123.3
Madrid 580 910 95.8
Manama 390 510 57.5
Manila 140 270 26.7
Mexico City 620 930 100.0
Miami 630 880 97.5
Milan 870 1170 130.8
Montreal 630 1100 111.7
Moscow 820 1040 119.2
Mumbai 320 540 55.8
Munich 830 1130 125.8
Nairobi 220 280 32.5
New York 570 980 100
Nicosia 630 950 101.7
Oslo 840 1450 147.5
Paris 1020 1410 156.7
Prague 250 530 50.0
Riga 440 570 65.0
Rio de Janeiro 230 350 37.5
Rome 910 830 111.7
Santiago de Chile 360 610 62.5
São Paulo 300 600 57.5
Seoul 220 300 33.3
Shanghai 400 960 87.5
Sofia 270 430 45.0
Stockholm 760 1240 129.2
Sydney 580 820 90.0
Taipei 980 1070 132.5
Tallinn 610 830 92.5
Tel Aviv 440 580 65.8
Tokyo 1220 1880 199.2
Toronto 310 840 74.2
Vienna 980 1040 130.0
Vilnius 480 510 63.3
Warsaw 580 950 98.3
Zurich 1100 1190 147.5



electronics,Electronics and household appliances
City;USD;Index
Amsterdam 4960 125.3
Athens 4620 116.6
Auckland 4450 112.3
Bangkok 4370 110.3
Barcelona 5000 126.3
Beijing 4370 110.5
Berlin 4670 117.9
Bogotá 4170 105.3
Bratislava 4740 119.8
Brussels 4580 115.7
Budapest 5270 133.0
Buenos Aires 5170 130.5
Bucharest 3830 96.6
Caracas 8460 213.6
Chicago 4270 107.8
Delhi 4590 115.9
Doha 3790 95.8
Dubai 4550 114.9
Dublin 5160 130.4
Frankfurt 5510 139.1
Geneva 5330 134.7
Helsinki 5400 136.4
Hong Kong 4770 120.4
Istanbul 5490 138.6
Jakarta 4460 112.7
Johannesburg 3800 95.9
Cairo 4220 106.5
Kiev 4140 104.4
Copenhagen 5060 127.8
Kuala Lumpur 4300 108.7
Lima 4480 113.1
Lisbon 5180 130.9
Ljubljana 4970 125.4
London 4910 124.0
Los Angeles 3590 90.7
Luxembourg 4660 117.7
Lyon 4540 114.7
Madrid 4940 124.7
Milan 4790 121.0
Manama 3810 96.3
Manila 5630 142.2
Mexico City 4580 115.7
Miami 3580 90.3
Montreal 4610 116.3
Moscow 5050 127.6
Mumbai 3610 91.2
Munich 4770 120.5
Nairobi 4340 109.5
New York 3960 100
Nicosia 5480 138.3
Oslo 5190 131.1
Paris 5030 127.0
Prague 4900 123.6
Riga 4460 112.7
Rio de Janeiro 5400 136.5
Rome 5190 131.0
Santiago de Chile 4520 114.2
São Paulo 5010 126.5
Seoul 4790 120.8
Shanghai 3950 99.8
Sofia 3890 98.2
Stockholm 4950 125.0
Sydney 5210 131.6
Taipei 4290 108.3
Tallinn 5200 131.4
Tel Aviv 5740 145.0
Tokyo 4820 121.7
Toronto 4520 114.3
Vilnius 4770 120.3
Warsaw 4410 111.4
Vienna 5560 140.4
Zurich 5130 129.5



rents,Rents (Furnished 4-room; Unfurnished 3-room; Local prices)
City;expensive_4,expensive 4-room;medium_4,medium 4-room;cheap_4,cheap 4-room;expensive_3,expensive 3-room;medium_3,medium 3-room;cheap_3,cheap 3-room;local_rent,Normal local rent;local_prices,Purchase price / m2
Amsterdam 3760 2330 1750 2330 1580 1100 1110 3900
Athens 1940 1490 1170 910 650 530 880 2410
Auckland 3770 1640 1270 2360 1330 820 1020 3540
Bangkok 2250 1460 880 1630 930 600 410 2860
Barcelona 2090 1270 950 1520 1090 740 980 3760
Beijing 2500 1550 1010 1640 660 430 310 3250
Berlin 3340 2400 1750 2070 1180 890 840 2910
Bogotá 3240 1550 800 1590 840 390 630 1960
Bratislava 2620 1680 1070 1280 840 620 410 2090
Brussels 3630 2540 1810 3120 1840 1270 1240 3200
Bucharest 1280 980 690 790 530 410 390 1170
Budapest 3350 2120 1420 2160 1170 760 560 2120
Buenos Aires 2050 1360 1070 910 740 540 400 1460
Cairo 2070 1110 630 1000 490 230 170 1410
Caracas 6000 3820 2250 4230 2780 1620 2100 3260
Chicago 6940 3540 1990 3300 2210 1100 1400 3170
Copenhagen 3040 2620 1960 2420 1740 1130 1100 4180
Delhi 2890 870 390 1530 560 260 470 1490
Doha 6240 4870 3680 3570 3000 2250 1740 2750
Dubai 7300 4880 2430 4970 3480 2340 2450 3950
Dublin 3240 2330 1550 2530 1590 1190 1550 3700
Frankfurt 3410 2370 1740 2240 1640 1170 1280 3740
Geneva 6410 4700 3280 3630 2430 1640 1570 11860
Helsinki 10360 8680 7510 1720 1440 1280 1440 5120
Hong Kong 14490 9660 4830 11970 4220 2090 1800 8330
Istanbul 6890 3150 1540 2190 1480 890 1280 1970
Jakarta 3510 2720 2020 1660 1090 710 670 1610
Johannesburg 2980 2160 1240 1540 1300 890 740 1370
Kiev 2980 1630 930 1500 850 620 560 1460
Kuala Lumpur 2180 1260 760 870 620 340 780 1370
Lima 1800 1500 890 1190 540 280 490 800
Lisbon 2330 1310 780 1750 1180 740 1100 2650
Ljubljana 2760 1770 1100 1520 1020 780 480 3160
London 8560 4830 2820 5400 3260 2010 1980 8070
Los Angeles 3720 2560 2180 2360 1880 1400 1200 3300
Luxembourg 3420 2310 1630 2760 1840 1500 1810 5440
Lyon 1980 1550 1170 1550 1220 820 950 4600
Madrid 2890 1300 1110 1440 1060 800 1050 3100
Manama 3650 2490 1580 1660 1280 870 910 1700
Manila 2470 1440 950 830 510 270 190 1640
Mexico City 2270 1400 580 1480 980 450 740 1370
Miami 8500 2690 1630 4120 1930 1040 1520 3630
Milan 4680 2860 2320 2850 1810 1540 1260 4300
Montreal 3630 2270 1350 2620 1740 1150 1360 3220
Moscow 5920 3640 2620 3720 2780 1800 850 5020
Mumbai 2800 1680 560 2210 800 350 450 710
Munich 4140 2500 1790 2630 1810 1330 970 5220
Nairobi 3020 2380 1310 2070 1230 320 480 1310
New York 14100 7240 3680 10310 4300 1970 3350 11060
Nicosia 3340 1880 1050 1750 930 540 920 3040
Oslo 4010 3250 2210 3250 2210 1790 1970 7360
Paris 4660 3250 2490 3340 2280 1390 1670 10810
Prague 1850 1230 920 1110 870 700 730 2950
Riga 2490 930 530 1270 840 450 470 2680
Rio de Janeiro 4580 3200 1970 2230 1320 970 760 3700
Rome 4400 3240 1550 2420 2030 1460 1810 5180
Santiago de Chile 3190 2340 1710 1400 1020 710 670 1760
São Paulo 3950 2810 1900 1920 1580 970 850 3500
Seoul 4870 3440 1750 3940 2640 1850 2180 4740
Shanghai 2950 1420 970 1580 920 710 710 3790
Sofia 1060 760 560 620 450 360 340 1060
Stockholm 3170 2530 1960 2310 1830 1300 1180 6710
Sydney 7740 4180 3130 2820 2180 1400 1640 4350
Taipei 3410 2430 1420 2640 1700 1040 950 6410
Tallinn 1490 980 620 970 710 450 450 2720
Tel Aviv 3240 2580 1790 2210 1710 1200 1280 6110
Tokyo 11110 6180 3910 5010 2490 1190 1630 9490
Toronto 3600 2560 1590 2360 2020 1150 1090 2680
Vienna 3730 2490 1810 1860 1420 1100 950 3460
Vilnius 1460 980 690 730 490 350 320 1680
Warsaw 2140 1620 1060 1610 1200 830 710 2890
Zurich 5840 4480 2680 4010 2500 1800 2550 11720



transport,Public transport
City;public,Bus/Tram/Metro;Taxi;Train
Amsterdam 3.19 16.34 30.05
Athens 1.81 5.50 13.81
Auckland 2.57 13.62 40.86
Bangkok 0.75 2.47 3.47
Barcelona 2.59 10.36 41.96
Beijing 0.26 3.64 14.25
Berlin 2.98 10.79 80.30
Bogotá 0.84 2.81 n.a.
Bratislava 1.08 5.61 22.97
Brussels 2.42 15.71 26.03
Bucharest 0.75 3.17 9.43
Budapest 1.43 7.64 15.96
Buenos Aires 0.28 7.97 n.a.
Cairo 0.19 1.49 5.24
Caracas 0.35 11.65 n.a.
Chicago 2.25 12.50 34.99
Copenhagen 4.88 17.33 59.92
Delhi 0.25 1.95 10.58
Doha 1.14 4.12 n.a.
Dubai 0.54 8.17 n.a.
Dublin 2.74 14.89 34.53
Frankfurt 3.24 16.23 86.77
Geneva 3.67 27.78 58.23
Helsinki 3.28 12.71 34.83
Hong Kong 1.33 3.99 20.48
Istanbul 0.95 8.94 15.84
Jakarta 0.38 2.93 2.64
Johannesburg 1.25 4.07 15.59
Kiev 0.25 4.56 12.15
Kuala Lumpur 0.68 2.44 7.06
Lima 0.47 4.52 n.a.
Lisbon 1.83 11.50 27.63
Ljubljana 2.03 7.25 18.49
London 3.70 23.03 81.95
Los Angeles 1.50 25.06 34.33
Luxembourg 1.94 19.43 54.13
Lyon 2.07 13.08 40.02
Madrid 1.94 13.27 44.51
Manama 0.80 11.52 n.a.
Manila 0.34 2.88 5.58
Mexico City 0.37 3.60 n.a.
Miami 1.83 15.32 27.33
Milan 1.94 16.84 34.75
Montreal 2.87 12.98 70.58
Moscow 0.85 13.24 10.56
Mumbai 0.13 1.76 2.72
Munich 3.24 18.04 71.23
Nairobi 0.54 7.16 35.80
New York 2.42 8.50 85.98
Nicosia 1.45 9.31 n.a.
Oslo 5.12 23.22 48.58
Paris 2.16 9.39 42.87
Prague 1.37 8.05 12.78
Riga 1.30 6.34 9.23
Rio de Janeiro 1.56 7.29 n.a.
Rome 1.94 9.38 36.69
Santiago de Chile 1.17 7.13 6.49
São Paulo 1.53 6.83 n.a.
Seoul 0.90 3.40 17.54
Shanghai 0.58 3.64 10.40
Sofia 0.66 2.00 6.62
Stockholm 4.52 24.64 41.60
Sydney 3.43 9.75 39.35
Taipei 0.68 4.37 11.25
Tallinn 1.81 5.86 9.79
Tel Aviv 1.72 13.57 16.95
Tokyo 2.46 21.42 44.72
Toronto 3.08 13.31 35.62
Vienna 2.59 17.27 42.03
Vilnius 0.94 4.63 13.73
Warsaw 0.79 3.15 14.62
Zurich 4.66 28.93 68.47



cars,Car prices and maintenance costs
City;model,Mid-price car;Price;Tax;Fuel
Amsterdam 'VW Golf, Easyline' 24000 689 1.80
Athens 'Opel Astra Sedan 1.8' 24900 389 2.02
Auckland 'Holden Cruze' 23900 226 1.33
Bangkok 'Toyota Altis 1.8'  29600 103 1.00
Barcelona 'Renault Megane' 26900 177 1.77
Beijing 'Toyota Corolla' 23800 67 1.24
Berlin 'Audi A4 2.0' 35600 246 2.10
Bogotá 'Chevrolet Aveo Sedan 1.6'  20200 303 1.24
Bratislava 'Skoda Octavia 2.0 TDI' 26700 65 1.93
Brussels 'Renault Megane 1.6'  23200 500 1.91
Bucharest 'Dacia Logan Sandero 1.6'  11700 36 1.90
Budapest 'Ford Focus 1.6'  22600 76 1.95
Buenos Aires 'Renault Sandero 1.6' 20200 307 1.27
Cairo 'Kia Cerato 1.6' 21500 50 0.15
Caracas 'Chevrolet Aveo'    49000 18 0.01
Chicago 'Toyota Camry'  22100 95 1.11
Copenhagen 'Ford Mondeo M5 Trend 2.0'  63400 641 1.99
Delhi 'Honda City' 15300 93 0.77
Doha 'Nissan Tiida 1.8' 17000 27 0.24
Dubai 'Toyota Camry' 23100 94 1.01
Dublin 'Ford Focus' 32000 427 2.01
Frankfurt 'VW Passat Trendline' 36800 78 1.89
Geneva 'VW Golf VI Trendline' 25200 135 2.04
Helsinki 'Toyota Avensis 1.8' 34600 152 1.97
Hong Kong 'VW Golf 2.5' 23800 509 1.65
Istanbul 'Renault Fluence 1.5'  34600 1189 2.37
Jakarta 'Honda Civic' 47800 717 0.76
Johannesburg 'VW Golf' 35500 56 1.45
Kiev 'Skoda Octavia' 24900 - 1.22
Kuala Lumpur 'Proton Inspira 1.8' 25700 91 0.59
Lima 'Toyota Yaris' 19300 95 1.36
Lisbon 'Renault Megane 1.6'  38100 181 1.95
Ljubljana 'Skoda Octavia 2.0' 24600 140 1.71
London 'Audi A3' 28000 217 2.40
Los Angeles 'Honda Civic' 30100 296 1.13
Luxembourg 'Audi A3' 31100 118 1.60
Lyon 'Renault Megane' 30400 - 1.84
Madrid 'Renault Megane' 21600 177 1.76
Manama 'Toyota Corolla' 18600 93 0.93
Manila 'Toyota Vios 1.3' 17400 47 1.02
Mexico City 'Nissan Sentra' 19400 28 0.81
Miami 'Nissan Maxima' 32400 98 1.05
Milan 'VW Polo 1.2 TDI' 18800 186 2.24
Montreal 'Ford Fusion' 21400 308 1.33
Moscow 'Nissan Tiida 1.8' 21200 73 0.93
Mumbai 'Maruti Suzuki Dzire' 11500 754 0.91
Munich 'VW Passat Comfortline 1.8'  38400 150 1.86
Nairobi 'Toyota Corolla' 23900 - 1.29
New York 'Nissan Altima' 20500 100 1.15
Nicosia 'Toyota Corolla 1.6' 24600 74 1.67
Oslo 'Toyota Auris' 42700 574 2.37
Paris 'Peugeot 308 2.0' 33700 486 1.89
Prague 'Skoda Octavia' 27800 116 1.88
Riga 'Toyota Corolla' 29700 98 1.76
Rio de Janeiro 'Chevrolet Corsa'  16100 357 0.88
Rome 'Alfa Romeo Giulietta 2.0' 32400 389 2.27
Santiago de Chile 'Toyota Yaris 1500' 13400 255 1.24
São Paulo 'Chevrolet Cobalt 1.8' 23700 485 1.28
Seoul 'Hyundai i40' 26000 523 1.56
Shanghai 'Volkswagen, Sagitar 1.8' 29400 76 1.26
Sofia 'Toyota Avensis' 27700 119 1.71
Stockholm 'Volvo S60' 36400 334 2.14
Sydney 'Honda Jazz' 22200 245 1.50
Taipei 'Toyota Corolla Altis 1.8 E' 22400 382 1.10
Tallinn 'Renault Megane' 21200 - 1.72
Tel Aviv 'Mazda Spirit 3' 33900 413 2.14
Tokyo 'Mazda Atenza' 26300 495 1.62
Toronto 'Honda Civic Sedan DX' 15000 75 1.25
Vienna 'VW Golf' 29800 453 1.80
Vilnius 'Skoda Octavia 1.6' 23700 - 1.72
Warsaw 'Opel Astra III' 25000 55 1.76
Zurich 'VW Golf 6 GTI' 45200 426 2.01



restaurants,Restaurant and hotel prices
City;Restaurant;hotel_5,Hotel*****;hotel_3,Hotel***
Amsterdam 51 390 200
Athens 54 210 100
Auckland 45 280 190
Bangkok 57 320 90
Barcelona 52 330 170
Beijing 41 400 160
Berlin 35 230 120
Bogotá 26 300 140
Bratislava 28 230 120
Brussels 63 280 130
Bucharest 26 190 100
Budapest 28 410 130
Buenos Aires 26 280 160
Cairo 27 200 100
Caracas 69 400 190
Chicago 39 270 200
Copenhagen 73 490 270
